make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,price,city-L/100km,highway-L/100km,fuel,country,continent
Toyota,std,four,sedan,fwd,front,243.1,422.4,163.6,134.6,944,ohc,four,1606,2bbl,8.1,7.7,9,70,4800,6938,7.83,6.35,petrol,Japan,Asia
Toyota,std,four,hatchback,fwd,front,243.1,422.4,163.6,134.1,957,ohc,four,1606,2bbl,8.1,7.7,9,70,4800,7198,7.83,6.35,petrol,Japan,Asia
Toyota,std,four,sedan,fwd,front,243.1,422.4,163.6,134.6,1032,ohc,four,1803,idi,8.31,8.51,22.5,56,4500,7898,6.91,6.53,diesel,Japan,Asia
Toyota,std,four,hatchback,fwd,front,243.1,422.4,163.6,134.1,1032,ohc,four,1803,idi,8.31,8.51,22.5,56,4500,7788,6.18,5,diesel,Japan,Asia
Toyota,std,four,sedan,fwd,front,243.1,422.4,163.6,134.6,950,ohc,four,1606,2bbl,8.1,7.7,9,70,4800,7738,6.18,5,petrol,Japan,Asia
Toyota,std,four,hatchback,fwd,front,243.1,422.4,163.6,134.1,963,ohc,four,1606,2bbl,8.1,7.7,9,70,4800,8358,8.39,6.91,petrol,Japan,Asia
Toyota,std,four,sedan,fwd,front,243.1,422.4,163.6,134.1,971,ohc,four,1606,2bbl,8.1,7.7,9,70,4800,9258,8.39,6.91,petrol,Japan,Asia
Toyota,std,two,sedan,rwd,front,240,428.5,162.6,133.6,984,ohc,four,1606,2bbl,8.1,7.7,9,70,4800,8058,8.1,6.91,petrol,Japan,Asia
Toyota,std,two,hatchback,rwd,front,240,428.5,162.6,133.6,1000,ohc,four,1606,2bbl,8.1,7.7,9,70,4800,8238,8.1,6.91,petrol,Japan,Asia
Toyota,std,two,sedan,rwd,front,240,428.5,162.6,133.6,1027,dohc,four,1606,mpfi,8.23,7.82,9.4,112,6600,9298,9.04,8.1,petrol,Japan,Asia
Toyota,std,two,hatchback,rwd,front,240,428.5,162.6,133.6,1043,dohc,four,1606,mpfi,8.23,7.82,9.4,112,6600,9538,9.04,8.1,petrol,Japan,Asia
Toyota,std,two,hardtop,rwd,front,249.9,447.5,166.6,132.1,1152,ohc,four,2393,mpfi,9.19,8.89,9.3,116,4800,8449,9.79,7.83,petrol,Japan,Asia
Toyota,std,two,hardtop,rwd,front,249.9,447.5,166.6,132.1,1150,ohc,four,2393,mpfi,9.19,8.89,9.3,116,4800,9639,9.79,7.83,petrol,Japan,Asia
Toyota,std,two,hatchback,rwd,front,249.9,447.5,166.6,132.1,1157,ohc,four,2393,mpfi,9.19,8.89,9.3,116,4800,9989,9.79,7.83,petrol,Japan,Asia
Toyota,std,two,hardtop,rwd,front,249.9,447.5,166.6,132.1,1215,ohc,four,2393,mpfi,9.19,8.89,9.3,116,4800,11199,9.79,7.83,petrol,Japan,Asia
Toyota,std,two,hatchback,rwd,front,249.9,447.5,166.6,132.1,1231,ohc,four,2393,mpfi,9.19,8.89,9.3,116,4800,11549,9.79,7.83,petrol,Japan,Asia
Toyota,std,two,convertible,rwd,front,249.9,447.5,166.6,134.6,1349,ohc,four,2393,mpfi,9.19,8.89,9.3,116,4800,17669,9.79,7.83,petrol,Japan,Asia
Toyota,std,four,sedan,fwd,front,260.1,446,168.9,139.4,1055,ohc,four,1999,mpfi,8.41,8.99,8.7,92,4200,8948,8.1,6.91,petrol,Japan,Asia
Toyota,turbo,four,sedan,fwd,front,260.1,446,168.9,139.4,1125,ohc,four,1803,idi,8.31,8.51,22.5,73,4500,10698,7.83,7.12,diesel,Japan,Asia
Toyota,std,four,hatchback,fwd,front,260.1,446,168.9,136.9,1095,ohc,four,1999,mpfi,8.41,8.99,8.7,92,4200,9988,8.7,7.34,petrol,Japan,Asia
Toyota,std,four,sedan,fwd,front,260.1,446,168.9,139.4,1095,ohc,four,1999,mpfi,8.41,8.99,8.7,92,4200,10898,8.7,7.34,petrol,Japan,Asia
Toyota,std,four,hatchback,fwd,front,260.1,446,168.9,136.9,1115,ohc,four,1999,mpfi,8.41,8.99,8.7,92,4200,11248,8.7,7.34,petrol,Japan,Asia
Toyota,std,two,hatchback,rwd,front,261.4,466.1,172,132.1,1350,dohc,six,2802,mpfi,8.31,8.51,9.3,161,5200,16558,11.75,9.79,petrol,Japan,Asia
Toyota,std,two,hatchback,rwd,front,261.4,466.1,172,132.1,1368,dohc,six,2802,mpfi,8.31,8.51,9.3,161,5200,15998,12.37,9.79,petrol,Japan,Asia
Toyota,std,four,sedan,rwd,front,265.4,477,168.9,137.4,1420,dohc,six,2802,mpfi,8.31,8.51,9.2,156,5200,15690,11.75,9.79,petrol,Japan,Asia
Toyota,std,four,wagon,rwd,front,265.4,477,168.9,137.4,1429,dohc,six,2638,mpfi,8.31,8.51,9.2,156,5200,15750,12.37,9.79,petrol,Japan,Asia
Volkswagen,std,two,sedan,fwd,front,247.1,436.1,166.4,141.5,1026,ohc,four,1590,idi,7.65,8.64,23,52,4800,7775,6.35,5.11,diesel,Germany,Europe
Volkswagen,std,two,sedan,fwd,front,247.1,436.1,166.4,141.5,1002,ohc,four,1786,mpfi,8.1,8.64,9,85,5250,7975,8.7,6.91,petrol,Germany,Europe
Volkswagen,std,four,sedan,fwd,front,247.1,436.1,166.4,141.5,1027,ohc,four,1590,idi,7.65,8.64,23,52,4800,7995,6.35,5.11,diesel,Germany,Europe
Volkswagen,std,four,sedan,fwd,front,247.1,436.1,166.4,141.5,1003,ohc,four,1786,mpfi,8.1,8.64,9,85,5250,8195,8.7,6.91,petrol,Germany,Europe
Volkswagen,std,four,sedan,fwd,front,247.1,436.1,166.4,141.5,1032,ohc,four,1786,mpfi,8.1,8.64,9,85,5250,8495,8.7,6.91,petrol,Germany,Europe
Volkswagen,turbo,four,sedan,fwd,front,247.1,436.1,166.4,141.5,1052,ohc,four,1590,idi,7.65,8.64,23,68,4500,9495,6.35,5.6,diesel,Germany,Europe
Volkswagen,std,four,sedan,fwd,front,247.1,436.1,166.4,141.5,1043,ohc,four,1786,mpfi,8.1,8.64,10,100,5500,9995,9.04,7.34,petrol,Germany,Europe
Volkswagen,std,two,convertible,fwd,front,240,404.6,163.1,141.2,1022,ohc,four,1786,mpfi,8.1,8.64,8.5,90,5500,11595,9.79,8.1,petrol,Germany,Europe
Volkswagen,std,two,hatchback,fwd,front,240,420.9,162.6,130.6,1007,ohc,four,1786,mpfi,8.1,8.64,8.5,90,5500,9980,9.79,8.1,petrol,Germany,Europe
Volkswagen,std,four,sedan,fwd,front,255,457.7,169.9,140,1207,ohc,five,2229,mpfi,8.1,8.64,8.5,110,5500,13295,12.37,9.79,petrol,Germany,Europe
Volkswagen,turbo,four,sedan,fwd,front,255,457.7,169.9,140,1170,ohc,four,1590,idi,7.65,8.64,23,68,4500,13845,7.12,6.18,diesel,Germany,Europe
Volkswagen,std,four,wagon,fwd,front,255,465.1,169.9,140,1163,ohc,four,1786,mpfi,8.1,8.64,9,88,5500,12290,9.4,7.58,petrol,Germany,Europe
Volvo,std,four,sedan,rwd,front,264.9,479.6,170.7,142.7,1321,ohc,four,2311,mpfi,9.6,8,9.5,114,5400,12940,10.22,8.39,petrol,Sweden,Europe
Volvo,std,four,wagon,rwd,front,264.9,479.6,170.7,146,1376,ohc,four,2311,mpfi,9.6,8,9.5,114,5400,13415,10.22,8.39,petrol,Sweden,Europe
Volvo,std,four,sedan,rwd,front,264.9,479.6,170.7,142.7,1331,ohc,four,2311,mpfi,9.6,8,9.5,114,5400,15985,9.79,8.39,petrol,Sweden,Europe
Volvo,std,four,wagon,rwd,front,264.9,479.6,170.7,146,1380,ohc,four,2311,mpfi,9.6,8,9.5,114,5400,16515,9.79,8.39,petrol,Sweden,Europe
Volvo,turbo,four,sedan,rwd,front,264.9,479.6,170.7,142.7,1381,ohc,four,2130,mpfi,9.19,8,7.5,162,5100,18420,13.82,10.68,petrol,Sweden,Europe
Volvo,turbo,four,wagon,rwd,front,264.9,479.6,170.7,146,1432,ohc,four,2130,mpfi,9.19,8,7.5,162,5100,18950,13.82,10.68,petrol,Sweden,Europe
Volvo,std,four,sedan,rwd,front,277.1,479.6,175,141,1339,ohc,four,2311,mpfi,9.6,8,9.5,114,5400,16845,10.22,8.39,petrol,Sweden,Europe
Volvo,turbo,four,sedan,rwd,front,277.1,479.6,174.8,141,1383,ohc,four,2311,mpfi,9.6,8,8.7,160,5300,19045,12.37,9.4,petrol,Sweden,Europe
Volvo,std,four,sedan,rwd,front,277.1,479.6,175,141,1366,ohcv,six,2835,mpfi,9.09,7.29,8.8,134,5500,21485,13.06,10.22,petrol,Sweden,Europe
Volvo,turbo,four,sedan,rwd,front,277.1,479.6,175,141,1459,ohc,six,2376,idi,7.65,8.64,23,106,4800,22470,9.04,8.7,diesel,Sweden,Europe
Volvo,turbo,four,sedan,rwd,front,277.1,479.6,175,141,1389,ohc,four,2311,mpfi,9.6,8,9.5,114,5400,22625,12.37,9.4,petrol,Sweden,Europe
